"","formula","exit_status.LTL2SDBA","exit_status.LTL2SDBA+Opt","exit_status.S+S","exit_status.S+SOpt","exit_status.ltl2ldba","exit_status.ltl2ldbaOpt","exit_code.LTL2SDBA","exit_code.LTL2SDBA+Opt","exit_code.S+S","exit_code.S+SOpt","exit_code.ltl2ldba","exit_code.ltl2ldbaOpt","time.LTL2SDBA","time.LTL2SDBA+Opt","time.S+S","time.S+SOpt","time.ltl2ldba","time.ltl2ldbaOpt","states.LTL2SDBA","states.LTL2SDBA+Opt","states.S+S","states.S+SOpt","states.ltl2ldba","states.ltl2ldbaOpt","edges.LTL2SDBA","edges.LTL2SDBA+Opt","edges.S+S","edges.S+SOpt","edges.ltl2ldba","edges.ltl2ldbaOpt","transitions.LTL2SDBA","transitions.LTL2SDBA+Opt","transitions.S+S","transitions.S+SOpt","transitions.ltl2ldba","transitions.ltl2ldbaOpt","acc.LTL2SDBA","acc.LTL2SDBA+Opt","acc.S+S","acc.S+SOpt","acc.ltl2ldba","acc.ltl2ldbaOpt","scc.LTL2SDBA","scc.LTL2SDBA+Opt","scc.S+S","scc.S+SOpt","scc.ltl2ldba","scc.ltl2ldbaOpt","nondet_states.LTL2SDBA","nondet_states.LTL2SDBA+Opt","nondet_states.S+S","nondet_states.S+SOpt","nondet_states.ltl2ldba","nondet_states.ltl2ldbaOpt","nondet_aut.LTL2SDBA","nondet_aut.LTL2SDBA+Opt","nondet_aut.S+S","nondet_aut.S+SOpt","nondet_aut.ltl2ldba","nondet_aut.ltl2ldbaOpt","complete_aut.LTL2SDBA","complete_aut.LTL2SDBA+Opt","complete_aut.S+S","complete_aut.S+SOpt","complete_aut.ltl2ldba","complete_aut.ltl2ldbaOpt","product_states.LTL2SDBA","product_states.LTL2SDBA+Opt","product_states.S+S","product_states.S+SOpt","product_states.ltl2ldba","product_states.ltl2ldbaOpt","product_transitions.LTL2SDBA","product_transitions.LTL2SDBA+Opt","product_transitions.S+S","product_transitions.S+SOpt","product_transitions.ltl2ldba","product_transitions.ltl2ldbaOpt","product_scc.LTL2SDBA","product_scc.LTL2SDBA+Opt","product_scc.S+S","product_scc.S+SOpt","product_scc.ltl2ldba","product_scc.ltl2ldbaOpt"
"112","!(G(((p0) -> (F(p1))) & ((p2) -> (F(p3))) & ((p4) -> (F(p5))) & ((p6) -> (F(p7)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.744882,0.758566,0.0404685,0.0537498,1.30501,16.3642,9,9,5,5,24,24,17,13,9,9,1292,336,2048,1536,1024,1024,21504,13824,1,1,1,1,1,1,9,9,5,5,9,9,5,1,1,1,16,16,1,1,1,1,1,1,0,0,0,0,0,0,1800,1793,1000,1000,4527,4527,32722,24463,16330,16330,317062,205355,9,798,5,5,21,21
"113","!(G((F(p0)) & (F(!(p0)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00310969,0.00940642,0.0183518,0.0206529,0.800304,0.92472,5,5,3,3,3,3,9,7,5,5,5,5,10,8,6,6,8,8,1,1,1,1,1,1,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1000,1000,600,600,600,600,21315,17052,12789,12789,17052,17052,5,403,3,3,3,3
"114","!(G((F(p1)) & (F(p0))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0035529,0.0096471,0.0191098,0.0212698,0.821174,0.858114,5,5,3,3,3,3,9,7,5,5,5,5,20,16,12,12,16,16,1,1,1,1,1,1,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1000,1000,600,600,600,600,21106,16883,12660,12660,16865,16865,5,403,3,3,3,3
"115","!(G((p0) & (X(F((p1) & (X(F((p2) & (X(F(p3)))))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0127334,0.0217626,0.0229491,0.0291378,1.31993,1.10926,9,9,5,5,5,5,17,13,9,9,9,9,148,108,68,68,80,80,1,1,1,1,1,1,9,9,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1800,1797,1000,1000,1000,1000,38364,27965,17630,17630,20743,20743,9,802,5,5,5,5
"116","!(G((p0) -> ((!(p1)) U ((p1) U ((!(p1)) & ((p2) R (!(p1))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00591568,0.0277904,0.0221647,0.0274297,1.15621,1.22637,18,13,5,5,13,7,43,28,10,10,56,21,145,90,34,34,155,63,1,1,1,1,1,1,11,8,5,5,9,4,4,3,1,1,4,4,1,1,1,1,1,1,0,0,0,0,0,0,3582,2590,996,996,2592,1396,75536,46871,17698,17698,80199,32552,11,247,45,45,9,203
"117","!(G((p0) -> ((!(p1)) U ((p1) U ((!(p1)) U ((p1) U ((p1) & (p2))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0100016,0.0318655,0.0198225,0.0256212,1.28536,1.29138,42,17,6,6,40,8,103,38,12,12,172,24,331,123,43,43,474,73,1,1,1,1,1,1,25,11,6,6,32,4,6,4,1,1,5,5,1,1,1,1,1,1,0,0,0,0,0,0,8362,3388,1196,1196,7984,1596,171081,63683,22307,22307,246770,38070,636,261,10,10,38,203
"118","!(G((p0) -> ((!(p1)) U ((p1) U ((p1) & (p2))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00579165,0.0184396,0.019978,0.0239976,1.25314,1.10664,12,8,4,4,11,6,27,17,8,8,42,16,103,65,31,31,123,53,1,1,1,1,1,1,10,7,4,4,9,4,4,3,1,1,3,3,1,1,1,1,1,1,0,0,0,0,0,0,2400,1600,800,800,2200,1200,55323,34904,16675,16675,66131,28541,211,241,5,5,9,203
"119","!(G((p0) -> (((!((!(p1)) & (p2) & (X((!(p1)) U ((!(p1)) & (p3)))))) U ((p1) | (p4))) | (G(!((p2) & (X(F(p3)))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0259188,0.0357226,0.0208346,0.024858,1.13216,1.23272,19,5,4,4,15,5,52,9,10,10,60,12,418,119,128,128,400,140,1,1,1,1,1,1,16,5,2,2,11,3,7,1,0,0,5,1,1,1,0,0,1,1,0,0,1,1,0,0,3754,980,780,780,2691,979,53679,15392,16247,16247,46904,17742,115,383,2,2,864,7
"120","!(G((p0) -> (((!(p1)) & (!(p2))) U ((p2) | (((p1) & (!(p2))) U ((p2) | (((!(p1)) & (!(p2))) U ((p2) & (((p1) & (!(p2))) U ((p2) | (G(p1)) | ((!(p1)) W (p2))))))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00588769,0.0259211,0.0225238,0.0265962,1.59,1.51694,26,17,5,5,68,7,63,38,10,10,268,20,152,93,30,30,651,66,1,1,1,1,1,1,17,11,5,5,45,4,5,4,1,1,4,4,1,1,1,1,1,1,0,0,0,0,0,0,5175,3387,995,995,13540,1395,76070,46711,15224,15224,332962,34206,423,308,8,8,624,203
"121","!(G((p0) -> ((((p1) & (X((!(p2)) U (p3)))) -> (X((!(p2)) U ((p3) & (F(p4)))))) U ((p2) | (G(((p1) & (X((!(p2)) U (p3)))) -> (X((!(p2)) U ((p3) & (F(p4)))))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0188525,0.0183709,0.0230137,0.0303341,1.42322,1.38064,9,5,4,4,23,10,21,9,8,8,138,43,228,100,84,84,808,316,1,1,1,1,1,1,9,5,4,4,10,4,4,2,2,2,8,6,1,1,1,1,1,1,0,0,0,0,0,0,1798,998,800,800,4523,1979,29145,12785,10794,10794,101795,39822,10,249,51,51,470,203
"122","!(G((p0) -> (((p1) -> ((!(p2)) U ((!(p2)) & (p3) & (X((!(p2)) U (p4)))))) U ((p2) | (G((p1) -> ((p3) & (X(F(p4))))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.187252,0.532993,0.0294739,0.0468824,1.36,1.41763,109,23,13,13,32,18,519,83,34,32,193,85,2700,622,372,304,1290,630,1,1,1,1,1,1,44,12,13,13,20,11,13,6,7,5,7,8,1,1,1,1,1,1,0,0,0,0,0,0,20603,4586,2594,2594,6180,3579,335271,81163,48582,39679,164826,82357,533,496,70,501,959,523
"123","!(G((p0) -> ((F(p1)) -> ((!(p1)) U ((p2) | ((!(p1)) & (p3) & (X((!(p1)) U (p4)))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0154499,0.0242912,0.0233471,0.0262881,1.29,1.29711,5,4,4,4,23,13,12,13,13,13,93,45,156,128,128,128,526,316,1,1,1,1,1,1,5,2,2,2,18,9,2,0,0,0,3,4,1,0,0,0,1,1,0,1,1,1,0,0,985,783,783,783,4337,2543,20009,16194,16194,16194,64705,39903,48,2,2,2,1323,420
"124","!(G((p0) -> ((G(!(p1))) | ((!(p2)) U (p1)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00354473,0.0230372,0.0208521,0.0266006,1.06931,1.07336,5,4,4,4,4,4,10,9,9,9,9,9,46,32,32,32,32,32,1,1,1,1,1,1,5,3,3,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,999,799,799,799,799,799,24618,17103,17103,17103,17103,17103,6,3,3,3,3,3
"125","!(G((p0) -> ((p1) & ((p2) U (p3)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00594218,0.0222523,0.0200372,0.0243097,1.13212,1.06576,7,5,3,3,5,5,13,9,6,6,14,12,101,73,41,41,84,77,1,1,1,1,1,1,7,5,3,3,4,4,3,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1398,999,600,600,992,992,26238,18938,10666,10666,21594,19784,206,204,4,4,5,203
"126","!(G((p0) -> ((p1) R (!(p2)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00467719,0.0182119,0.0165489,0.0232478,0.823944,0.983344,4,3,3,3,3,3,8,7,7,7,7,7,39,24,24,24,24,24,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,799,599,599,599,599,599,20215,12449,12449,12449,12449,12449,5,2,2,2,2,2
"127","!(G((p0) -> ((p1) R ((p1) | (!(p2))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00397115,0.0100242,0.0191225,0.0229344,1.00417,1.06805,4,3,3,3,3,3,8,7,7,7,7,7,37,24,24,24,24,24,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,799,599,599,599,599,599,19429,12576,12576,12576,12576,12576,4,2,2,2,2,2
"128","!(G((p0) -> ((p1) U ((!(p1)) U ((!(p2)) | (p3))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.010407,0.0273972,0.0424023,0.033126,1.15337,1.1728,12,8,4,4,11,6,27,17,8,8,42,16,112,75,42,42,222,110,1,1,1,1,1,1,10,7,4,4,9,4,4,3,1,1,3,3,1,1,1,1,1,1,0,0,0,0,0,0,2276,1525,771,771,2154,1171,28407,18809,10785,10785,55569,27568,267,492,41,41,122,204
"129","!(G((p0) -> ((p1) U ((!(p1)) U ((p2) | (p3))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00649348,0.0227491,0.0184757,0.0232467,1.28665,1.37396,12,8,4,4,11,6,27,17,8,8,42,16,112,75,42,42,222,110,1,1,1,1,1,1,10,7,4,4,9,4,4,3,1,1,3,3,1,1,1,1,1,1,0,0,0,0,0,0,2240,1503,762,762,2133,1160,28015,18537,10692,10692,54820,27239,247,480,33,33,130,204
"130","!(G((p0) -> ((p1) U ((G(p2)) | (G(p3))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0230291,0.0393383,0.0214382,0.0297443,1.0104,1.07391,32,16,6,6,10,10,203,62,23,23,44,35,619,263,103,103,217,191,1,1,2,2,1,1,13,8,6,6,8,8,6,2,1,1,5,5,1,1,1,1,1,1,0,0,1,1,1,0,6119,3184,1197,1197,1997,1997,147585,65761,25856,25856,54611,48002,192,218,6,6,8,207
"131","!(G((p0) -> ((p1) U (p2))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00412697,0.0194768,0.0219406,0.0261269,1.32959,1.10808,7,5,3,3,5,5,13,9,6,6,14,12,51,35,21,21,45,41,1,1,1,1,1,1,7,5,3,3,4,4,3,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1399,999,600,600,1000,1000,25915,17786,10696,10696,22967,20963,207,237,4,4,7,203
"132","!(G((p0) -> (F(!(p1)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00322475,0.00904995,0.0162744,0.0209487,0.924794,0.927912,3,3,2,2,4,4,5,4,3,3,11,9,11,9,7,7,20,17,1,1,1,1,1,1,3,3,2,2,3,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,600,599,400,400,800,800,11400,9322,7272,7272,20892,17781,3,201,2,2,9,202
"133","!(G((p0) -> (F(((!(p0)) & (p1) & (p2) & (p3)) -> (F(p4))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00563829,0.00897712,0.0182362,0.0207213,0.823548,0.873364,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
"134","!(G((p0) -> (F(((p1) & (p2)) -> (F(p3))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00379268,0.010185,0.0191381,0.0221718,0.942278,0.998781,3,3,2,2,4,4,5,4,3,3,11,9,23,21,19,19,68,65,1,1,1,1,1,1,3,3,2,2,3,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,583,541,392,392,784,784,5937,5339,4915,4915,17327,16526,32,166,17,17,171,217
"135","!(G((p0) -> (F((p0) & (p1)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00338701,0.0107259,0.014908,0.0220918,0.939067,0.912032,3,3,2,2,4,4,5,4,3,3,11,9,14,11,8,8,22,17,1,1,1,1,1,1,3,3,2,2,3,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,600,599,400,400,800,800,14567,11430,8333,8333,22878,17699,3,201,2,2,3,202
"136","!(G((p0) -> (F((p1) & (!(p2)) & (X((!(p2)) U (p3)))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00526451,0.0219915,0.0218801,0.02604,1.16955,1.29852,7,6,3,3,12,8,20,17,7,7,52,25,120,101,48,48,236,138,1,1,1,1,1,1,4,4,2,2,8,5,3,3,1,1,3,3,1,1,1,1,1,1,0,0,0,0,0,0,1400,1200,600,600,2314,1593,30911,26046,12307,12307,59085,35330,4,4,2,2,549,371
"137","!(G((p0) -> (F((p1) & (X(F(p2)))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00412125,0.0132073,0.0188735,0.0245572,1.07363,1.01747,7,5,3,3,6,6,15,9,6,6,26,19,56,32,24,24,78,62,1,1,1,1,1,1,7,5,3,3,4,4,3,2,1,1,3,3,1,1,1,1,1,1,0,0,0,0,0,0,1400,1000,600,600,1200,1200,30042,17120,12854,12854,41674,33078,7,205,3,3,5,5
"138","!(G((p0) -> (F((p1) & (p2)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00310914,0.014491,0.021449,0.0222585,1.06639,0.915724,3,3,2,2,4,4,5,4,3,3,11,9,29,23,17,17,44,35,1,1,1,1,1,1,3,3,2,2,3,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,600,600,400,400,800,800,14978,11879,8780,8780,22586,17972,3,202,2,2,3,202
"139","!(G((p0) -> (F((p1) -> (F(p2))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00792391,0.0182894,0.0253444,0.0238187,0.971017,1.10299,3,3,2,2,4,4,5,4,3,3,11,9,15,13,11,11,36,33,1,1,1,1,1,1,3,3,2,2,3,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,596,586,398,398,796,796,7820,6730,5776,5776,18798,17294,3,190,2,2,42,202
"140","!(G((p0) -> (F((p1) | (p2)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00320176,0.0101152,0.0192991,0.0253813,0.988912,1.06439,3,3,2,2,4,4,5,4,3,3,11,9,15,13,11,11,36,33,1,1,1,1,1,1,3,3,2,2,3,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,600,589,400,400,800,800,8108,6977,5968,5968,19544,17951,3,191,2,2,31,202
"141","!(G((p0) -> (F(p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00432621,0.0148001,0.0215776,0.0239888,1.15318,1.01955,3,3,2,2,4,4,5,4,3,3,11,9,11,9,7,7,20,17,1,1,1,1,1,1,3,3,2,2,3,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,600,600,400,400,800,800,11640,9526,7412,7412,21188,18018,3,202,2,2,4,202
"142","!(G((p0) -> (G(!(p1)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00529175,0.0203673,0.0217523,0.02689,1.61764,1.11152,4,3,3,3,3,3,8,6,6,6,6,6,21,12,12,12,12,12,1,1,1,1,1,1,4,3,3,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,800,600,600,600,600,600,22167,12666,12666,12666,12666,12666,4,3,3,3,3,3
"143","!(G((p0) -> (G(((p1) & (X(F(p2)))) -> (X((!(p2)) U ((p2) & (F(p3)))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00426409,0.0197044,0.0199192,0.0241682,1.1635,1.13481,5,5,4,4,8,6,10,9,8,8,33,19,88,68,60,60,156,92,1,1,1,1,1,1,5,5,4,4,5,3,3,2,2,2,5,1,1,1,1,1,1,1,0,0,0,0,0,0,1000,997,800,800,1600,1200,22447,17298,15292,15292,39740,23443,5,204,7,7,205,3
"144","!(G((p0) -> (G((p1) -> ((p2) & (!(p3)) & (X((!(p3)) U (p4))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0244067,0.0357636,0.0213199,0.0287394,1.12873,1.13286,8,6,4,4,5,5,17,13,10,10,15,15,248,182,118,118,158,152,1,1,1,1,1,1,8,6,4,4,4,4,4,3,2,2,3,3,1,1,1,1,1,1,0,0,0,0,0,0,1598,1200,800,800,1000,1000,32114,23567,15303,15303,20524,19736,213,209,8,8,4,4
"145","!(G((p0) -> (G((p1) -> ((p2) & (X(F(p3))))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00588953,0.0215442,0.0210665,0.0248316,0.997278,1.02998,6,6,4,4,5,5,13,11,9,9,15,15,116,86,62,62,86,80,1,1,1,1,1,1,6,6,4,4,4,4,4,2,2,2,3,3,1,1,1,1,1,1,0,0,0,0,0,0,1200,1197,800,800,1000,1000,30415,22518,16285,16285,22601,21021,6,401,4,4,4,4
"146","!(G((p0) -> (G((p1) -> (F(p2))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00821691,0.018756,0.0401258,0.0346511,1.39624,1.74855,4,4,3,3,6,5,8,7,6,6,20,12,35,27,23,23,60,36,1,1,1,1,1,1,4,4,3,3,5,4,3,2,2,2,3,2,1,1,1,1,1,1,0,0,0,0,0,0,800,797,600,600,1200,1000,18010,13858,11867,11867,31011,18584,4,200,3,3,13,203
"147","!(G((p0) -> (G(p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00278281,0.0205384,0.0242302,0.0222409,1.04143,1.63266,4,3,3,3,3,3,8,6,6,6,6,6,21,12,12,12,12,12,1,1,1,1,1,1,4,3,3,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,800,600,600,600,600,600,21686,12354,12354,12354,12354,12354,4,3,3,3,3,3
"148","!(G((p0) -> (X((!(p0)) U (p1)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00456315,0.0196049,0.0193549,0.0229574,1.0491,1.15723,7,5,3,3,4,4,12,8,5,5,9,9,27,20,12,12,18,17,1,1,1,1,1,1,7,5,3,3,3,3,3,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1399,1000,600,600,800,800,28596,21215,12757,12757,19134,18095,209,206,5,5,3,3
"149","!(G((p0) -> (X((p0) | (p1)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00320576,0.00928201,0.0181418,0.0209331,0.97238,0.823951,4,3,3,3,3,3,6,6,6,6,6,6,19,12,12,12,12,12,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,800,600,600,600,600,600,19262,12168,12168,12168,12168,12168,203,2,2,2,2,2
"150","!(G((p0) -> (X((p1) R (p2)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00347845,0.00982784,0.0186062,0.0220418,0.983933,0.956854,4,3,3,3,3,3,7,6,6,6,6,6,42,24,24,24,24,24,1,1,1,1,1,1,4,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,800,600,600,600,600,600,21964,12534,12534,12534,12534,12534,4,2,2,2,2,2
"151","!(G((p0) -> (p1)))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00265933,0.00997571,0.017985,0.0247836,0.915878,0.835626,3,2,2,2,2,2,5,3,3,3,3,3,16,8,8,8,8,8,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16272,8136,8136,8136,8136,8136,3,2,2,2,2,2
"152","!(G((p0) | ((X(p1)) & (X(!(p1))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00586088,0.0336578,0.0161211,0.0223025,0.92609,0.962042,3,2,2,2,2,2,5,3,3,3,3,3,8,4,4,4,8,4,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16464,8232,8232,8232,8232,8232,3,2,2,2,2,2
"153","!(G(F((!((p1) <-> (X(p1)))) | (!((p0) <-> (X(p0)))) | (!((p2) <-> (X(p2)))) | (!((p3) <-> (X(p3)))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0271498,0.0364441,0.0233972,0.0299946,1.33436,1.27446,33,33,17,17,18,18,65,49,33,33,34,34,80,64,48,48,64,64,1,1,1,1,1,1,33,33,17,17,18,18,17,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4399,4399,2504,2504,2704,2704,16266,13368,10980,10980,15021,15021,3288,3744,1849,1849,2049,2049
"154","!(G(F((!((p1) <-> (X(p1)))) | (!((p0) <-> (X(p0)))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00846948,0.0165385,0.0298286,0.0257031,1.00045,1.06927,9,9,5,5,6,6,17,13,9,9,10,10,20,16,12,12,16,16,1,1,1,1,1,1,9,9,5,5,6,6,5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1796,1796,998,998,1198,1198,20734,16590,12446,12446,16597,16597,11,804,6,6,206,206
"155","!(G(F((p0) | (p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00280654,0.00880161,0.0190854,0.0242357,0.916534,0.843367,3,3,2,2,2,2,5,4,3,3,3,3,8,7,6,6,9,9,1,1,1,1,1,1,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,596,596,398,398,400,400,8042,7043,6044,6044,9080,9080,5,201,3,3,5,5
"156","!(G(p0))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00286484,0.0154836,0.0236813,0.0220598,0.837007,0.860665,3,2,2,2,2,2,5,3,3,3,3,3,8,4,4,4,4,4,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16544,8272,8272,8272,8272,8272,3,2,2,2,2,2
"157","!(X(G(((p0) & (!(p1))) -> ((G(!(p1))) | ((!(p1)) U (p2))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00323428,0.00974754,0.0199611,0.0225564,0.999433,1.03959,5,4,4,4,8,5,8,7,7,7,19,9,45,32,32,32,70,38,1,1,1,1,1,1,5,3,3,3,7,4,2,0,0,0,3,1,1,0,0,0,1,1,0,1,1,1,0,0,798,598,598,598,1392,798,19508,12650,12650,12650,28370,15785,6,3,3,3,204,4
"158","!(X(G(((p0) & (p1)) -> ((G(p1)) | ((p1) U (p2))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0032246,0.0103496,0.019836,0.0225441,1.02843,1.00833,5,4,4,4,8,5,8,7,7,7,19,9,45,32,32,32,70,38,1,1,1,1,1,1,5,3,3,3,7,4,2,0,0,0,3,1,1,0,0,0,1,1,0,1,1,1,0,0,800,600,600,600,1398,800,19338,12563,12563,12563,28211,15712,6,3,3,3,206,4
"159","!(X(G((p0) -> ((G(!(p1))) | ((!(X(p1))) U (p2))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00490354,0.0208911,0.0228665,0.0245127,1.01127,1.13128,9,7,5,5,9,6,16,12,9,9,27,14,74,57,37,37,80,47,1,1,1,1,1,1,9,7,5,5,7,4,3,2,1,1,4,2,1,1,1,1,1,1,0,0,0,0,0,0,1599,1200,800,800,1598,1000,34180,25410,15045,15045,33203,20255,212,238,37,37,208,4
"160","(!((!((p0) | (p1))) U (p2))) & (G((p3) -> (!((!((p0) | (p1))) U (p2)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.011062,0.0161446,0.0180112,0.0224925,1.09886,1.0278,7,6,2,2,2,2,19,16,4,4,4,4,92,84,20,20,20,20,1,1,1,1,1,1,4,4,1,1,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1162,976,389,389,389,389,21318,19364,5107,5107,5107,5107,5,5,3,3,3,3
"161","(!(p0)) U (G(!(((p1) & (p2)) | ((p3) & (p4)) | ((p2) & (p3)) | ((p2) & (p4)) | ((p1) & (p4)) | ((p1) & (p3)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00432746,0.0227411,0.0191478,0.0238049,1.21878,1.17303,3,3,2,2,3,2,5,4,3,3,5,3,56,46,36,36,57,47,1,1,1,1,1,1,3,3,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,600,600,400,400,600,400,7405,6068,4731,4731,7462,6125,5,203,3,3,5,3
"162","(!(p0)) U (p1)","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00309021,0.00922986,0.0199014,0.0228398,0.795346,0.804049,3,2,2,2,2,2,5,3,3,3,3,3,15,7,7,7,7,7,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,598,398,398,398,398,398,15810,7378,7378,7378,7378,7378,6,5,5,5,5,5
"163","(!(p0)) W ((!(p0)) & (p1))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00269837,0.00874405,0.0158181,0.0202283,0.785696,0.80357,6,4,2,2,2,2,10,6,3,3,3,3,21,14,6,6,6,6,1,1,1,1,1,1,6,4,2,2,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1199,799,400,400,400,400,21068,14047,6056,6056,6056,6056,210,205,5,5,5,5
