"","formula","exit_status.LTL2SDBA","exit_status.LTL2SDBA+Opt","exit_status.S+S","exit_status.S+SOpt","exit_status.ltl2ldba","exit_status.ltl2ldbaOpt","exit_code.LTL2SDBA","exit_code.LTL2SDBA+Opt","exit_code.S+S","exit_code.S+SOpt","exit_code.ltl2ldba","exit_code.ltl2ldbaOpt","time.LTL2SDBA","time.LTL2SDBA+Opt","time.S+S","time.S+SOpt","time.ltl2ldba","time.ltl2ldbaOpt","states.LTL2SDBA","states.LTL2SDBA+Opt","states.S+S","states.S+SOpt","states.ltl2ldba","states.ltl2ldbaOpt","edges.LTL2SDBA","edges.LTL2SDBA+Opt","edges.S+S","edges.S+SOpt","edges.ltl2ldba","edges.ltl2ldbaOpt","transitions.LTL2SDBA","transitions.LTL2SDBA+Opt","transitions.S+S","transitions.S+SOpt","transitions.ltl2ldba","transitions.ltl2ldbaOpt","acc.LTL2SDBA","acc.LTL2SDBA+Opt","acc.S+S","acc.S+SOpt","acc.ltl2ldba","acc.ltl2ldbaOpt","scc.LTL2SDBA","scc.LTL2SDBA+Opt","scc.S+S","scc.S+SOpt","scc.ltl2ldba","scc.ltl2ldbaOpt","nondet_states.LTL2SDBA","nondet_states.LTL2SDBA+Opt","nondet_states.S+S","nondet_states.S+SOpt","nondet_states.ltl2ldba","nondet_states.ltl2ldbaOpt","nondet_aut.LTL2SDBA","nondet_aut.LTL2SDBA+Opt","nondet_aut.S+S","nondet_aut.S+SOpt","nondet_aut.ltl2ldba","nondet_aut.ltl2ldbaOpt","complete_aut.LTL2SDBA","complete_aut.LTL2SDBA+Opt","complete_aut.S+S","complete_aut.S+SOpt","complete_aut.ltl2ldba","complete_aut.ltl2ldbaOpt","product_states.LTL2SDBA","product_states.LTL2SDBA+Opt","product_states.S+S","product_states.S+SOpt","product_states.ltl2ldba","product_states.ltl2ldbaOpt","product_transitions.LTL2SDBA","product_transitions.LTL2SDBA+Opt","product_transitions.S+S","product_transitions.S+SOpt","product_transitions.ltl2ldba","product_transitions.ltl2ldbaOpt","product_scc.LTL2SDBA","product_scc.LTL2SDBA+Opt","product_scc.S+S","product_scc.S+SOpt","product_scc.ltl2ldba","product_scc.ltl2ldbaOpt"
"54","!((p0) U ((p1) & (X((p2) U (F(p3))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0051054,0.0123626,0.0164424,0.0200208,1.00564,0.863326,18,6,3,3,4,3,42,9,5,5,8,5,124,40,20,20,48,20,1,1,1,1,1,1,18,6,3,3,4,3,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3595,1198,599,599,799,599,65531,21029,10533,10533,12667,10533,272,404,4,4,7,4
"55","!((p0) U ((p1) U (p2)))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00597081,0.0233326,0.0197549,0.0222077,0.808347,0.846164,17,8,3,3,3,3,55,21,6,6,6,6,108,52,16,16,16,16,1,1,1,1,1,1,12,6,3,3,3,3,4,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3327,1570,597,597,597,597,56162,27153,8502,8502,8502,8502,253,210,7,7,7,7
"56","!((p0) U (p1))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00320805,0.0161977,0.0229354,0.0224887,0.795017,0.808688,6,4,2,2,2,2,10,6,3,3,3,3,21,14,6,6,6,6,1,1,1,1,1,1,6,4,2,2,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1194,796,398,398,398,398,22041,14640,6279,6279,6279,6279,203,201,2,2,2,2
"57","!((p0) | ((p1) U (p0)))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00408747,0.00916005,0.0151218,0.0205738,0.824613,0.826018,6,4,2,2,2,2,10,6,3,3,3,3,21,14,6,6,6,6,1,1,1,1,1,1,6,4,2,2,2,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1199,799,400,400,400,400,21573,14365,6172,6172,6172,6172,210,205,5,5,5,5
"58","!(F((p0) & (X((p1) & (X(F(p2)))))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00577883,0.018851,0.0178843,0.0207189,0.933873,1.01525,15,6,3,3,4,3,52,13,6,6,10,6,119,48,20,20,24,20,1,1,1,1,1,1,8,4,2,2,2,2,6,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2994,1200,600,600,800,600,62599,25186,10507,10507,12638,10507,414,203,2,2,5,2
"59","!(F((p0) & (X((p1) U (p2)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00432944,0.021596,0.0302218,0.0213958,1.26874,1.22586,6,5,2,2,2,2,19,13,4,4,4,4,48,40,12,12,12,12,1,1,1,1,1,1,3,3,1,1,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1200,1000,400,400,400,400,25089,20907,6272,6272,6272,6272,3,3,1,1,1,1
"60","!(F((p0) & (X(G(p1)))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00349245,0.00946902,0.0144905,0.0218838,1.18173,1.0285,5,3,2,2,3,3,17,7,5,5,7,7,28,12,8,8,12,12,1,1,1,1,1,1,2,2,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1000,401,400,400,600,600,29197,8357,8342,8342,12513,12513,2,2,1,1,1,1
"61","!(F((p0) | (p1)))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00289093,0.00902103,0.0160375,0.0212523,0.819822,0.836172,2,2,1,1,1,1,3,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,398,200,199,199,199,199,3210,1073,1070,1070,1070,1070,2,2,1,1,1,1
"62","!(F(p0))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.00270747,0.00935465,0.0193567,0.0211173,0.779163,0.747005,2,2,1,1,1,1,3,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,400,201,200,200,200,200,6042,2022,2014,2014,2014,2014,2,2,1,1,1,1
"63","!(G(!((p0) & (p1))))","ok","ok","ok","ok","ok","ok",0,0,0,0,0,0,0.0034896,0.00962373,0.0183277,0.0208625,0.828526,0.853835,3,2,2,2,2,2,5,3,3,3,3,3,16,8,8,8,8,8,1,1,1,1,1,1,3,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,600,400,400,400,400,400,16532,8266,8266,8266,8266,8266,3,2,2,2,2,2
